beta,train_loss,val_loss,recon_loss,kl_loss
CONFIG,IMG_SIZE=128,LATENT_DIM=8,"HIDDEN_DIMS=[8, 16, 32, 64]","BATCH_SIZE=128, EPOCHS=60, LR=0.0002, DEVICE=cuda"
0.0001,0.0090,0.0092,0.0066,24.1841
0.0002,0.0189,0.0192,0.0137,25.8434
0.0003,0.0126,0.0128,0.0072,17.977
0.0004,0.0245,0.025,0.0161,20.8968
0.0005,0.0143,0.0145,0.0079,12.7985
0.0006,0.0274,0.0281,0.0164,18.4541
0.0007,0.0169,0.0171,0.0096,10.4212
0.0008,0.0272,0.0276,0.0163,13.5958
0.0009,0.0196,0.0191,0.0102,10.4812
0.001,0.0298,0.0292,0.0173,12.5569
0.002,0.0276,0.027,0.013,7.275
0.003,0.0367,0.0369,0.0181,6.2239
0.004,0.04,0.041,0.0181,5.47
0.005,0.0522,0.054,0.0276,4.9369
0.006,0.0518,0.0534,0.0249,4.4837
0.007,0.0605,0.0614,0.0306,4.2678
0.008,0.0615,0.0634,0.0291,4.0432
0.009,0.0687,0.0699,0.0353,3.7163
0.01,0.0681,0.0693,0.0318,3.6297
0.03,0.1234,0.1257,0.0617,2.0561
0.05,0.1585,0.1606,0.0812,1.5454
0.07,0.1875,0.192,0.102,1.2209
0.09,0.2093,0.2123,0.1213,0.9769
0.1,0.2167,0.2277,0.1326,0.8409
